review,sentiment
"This mouse made my life so much easier, thank you!",1
"Very satisfied with the laptop, will buy again from this brand.",1
"This blender is terrible, completely broke after two days.",0
The headphones is overpriced for such low quality.,0
The keyboard is overpriced for such low quality.,0
"Excellent quality router, fast delivery and great packaging.",1
"Terrible experience, the watch is defective and slow.",0
"Very satisfied with the tablet, will buy again from this brand.",1
"Very satisfied with the blender, will buy again from this brand.",1
The laptop is overpriced for such low quality.,0
"Impressive backpack, customer service was also very helpful.",1
"This chair is terrible, completely broke after two days.",0
"The router is durable, stylish, and performs really well.",1
"I regret buying this router, it never worked properly.",0
"Extremely unhappy with this jacket, requesting a refund.",0
"Best mouse I have ever bought, highly recommend it.",1
"This backpack made my life so much easier, thank you!",1
"Best shoes I have ever bought, highly recommend it.",1
"Great value for money, this headphones is fantastic.",1
"The phone is durable, stylish, and performs really well.",1
"The keyboard works flawlessly, very happy with this purchase.",1
"Outstanding watch, arrived early and works perfectly.",1
"Very disappointed with this laptop, waste of money.",0
"Great value for money, this charger is fantastic.",1
The tablet arrived damaged and customer support was unhelpful.,0
"Extremely unhappy with this tablet, requesting a refund.",0
"Very satisfied with the phone, will buy again from this brand.",1
"Extremely unhappy with this watch, requesting a refund.",0
The laptop arrived damaged and customer support was unhelpful.,0
"Do not buy, complete garbage.",0
"Outstanding headphones, arrived early and works perfectly.",1
"Excellent quality jacket, fast delivery and great packaging.",1
"The blender stopped working within a week, awful quality.",0
"Excellent quality camera, fast delivery and great packaging.",1
"Very disappointed with this monitor, waste of money.",0
"The watch broke on the first use, very frustrating.",0
"This chair made my life so much easier, thank you!",1
"Impressive keyboard, customer service was also very helpful.",1
"Best headphones I have ever bought, highly recommend it.",1
"Fantastic purchase, highly satisfied.",1
"Superb build quality on this speaker, worth every rupee.",1
"Extremely unhappy with this laptop, requesting a refund.",0
"Extremely unhappy with this phone, requesting a refund.",0
"This backpack is absolutely amazing, exceeded all my expectations!",1
"This router was a huge disappointment, not worth it.",0
"Impressive camera, customer service was also very helpful.",1
The shoes is overpriced for such low quality.,0
"I regret buying this camera, it never worked properly.",0
"Money wasted, extremely poor quality.",0
"This blender was a huge disappointment, not worth it.",0
"I love this speaker, works perfectly and looks great.",1
"Outstanding jacket, arrived early and works perfectly.",1
"The backpack works flawlessly, very happy with this purchase.",1
"The book works flawlessly, very happy with this purchase.",1
"I love this monitor, works perfectly and looks great.",1
"Very satisfied with the camera, will buy again from this brand.",1
"Extremely unhappy with this shoes, requesting a refund.",0
"Superb build quality on this monitor, worth every rupee.",1
"Superb build quality on this jacket, worth every rupee.",1
"Works as described, very pleased.",1
"Amazing product, five stars!",1
"Outstanding vacuum cleaner, arrived early and works perfectly.",1
"Very satisfied with the jacket, will buy again from this brand.",1
"This camera made my life so much easier, thank you!",1
"Impressive vacuum cleaner, customer service was also very helpful.",1
"I love this mouse, works perfectly and looks great.",1
"Poor build quality, the shoes feels cheap and flimsy.",0
"This watch is absolutely amazing, exceeded all my expectations!",1
"Money wasted, extremely poor quality.",0
"Impressive mouse, customer service was also very helpful.",1
"The book is durable, stylish, and performs really well.",1
"This charger was a huge disappointment, not worth it.",0
"The phone works flawlessly, very happy with this purchase.",1
"Extremely unhappy with this headphones, requesting a refund.",0
"The speaker is durable, stylish, and performs really well.",1
"The tablet broke on the first use, very frustrating.",0
"Broke immediately, avoid this seller.",0
"Amazing product, five stars!",1
"Great value for money, this tablet is fantastic.",1
"I regret buying this shoes, it never worked properly.",0
"Very satisfied with the keyboard, will buy again from this brand.",1
"Impressive chair, customer service was also very helpful.",1
"Poor build quality, the camera feels cheap and flimsy.",0
"Worst keyboard I have purchased, do not recommend at all.",0
The monitor arrived damaged and customer support was unhelpful.,0
"I regret buying this chair, it never worked properly.",0
"The speaker works flawlessly, very happy with this purchase.",1
"Broke immediately, avoid this seller.",0
"I regret buying this book, it never worked properly.",0
"Extremely unhappy with this mouse, requesting a refund.",0
"Very satisfied with the monitor, will buy again from this brand.",1
"Terrible experience, the router is defective and slow.",0
"Outstanding phone, arrived early and works perfectly.",1
"Superb build quality on this phone, worth every rupee.",1
"The chair broke on the first use, very frustrating.",0
"This watch is terrible, completely broke after two days.",0
"Terrible experience, the speaker is defective and slow.",0
"This mouse was a huge disappointment, not worth it.",0
Good product but shipping was slow.,1
"Very disappointed with this printer, waste of money.",0
"Superb build quality on this vacuum cleaner, worth every rupee.",1
The printer arrived damaged and customer support was unhelpful.,0
"Worst router I have purchased, do not recommend at all.",0
"Best laptop I have ever bought, highly recommend it.",1
"Very satisfied with the watch, will buy again from this brand.",1
"I love this printer, works perfectly and looks great.",1
"Very disappointed with this charger, waste of money.",0
"The mouse stopped working within a week, awful quality.",0
The mouse arrived damaged and customer support was unhelpful.,0
"The shoes broke on the first use, very frustrating.",0
"This speaker is absolutely amazing, exceeded all my expectations!",1
"Worst vacuum cleaner I have purchased, do not recommend at all.",0
"Superb build quality on this keyboard, worth every rupee.",1
"This camera is terrible, completely broke after two days.",0
"Outstanding blender, arrived early and works perfectly.",1
"Money wasted, extremely poor quality.",0
"Worst speaker I have purchased, do not recommend at all.",0
"The laptop stopped working within a week, awful quality.",0
"The chair stopped working within a week, awful quality.",0
"Outstanding mouse, arrived early and works perfectly.",1
"Very disappointed with this shoes, waste of money.",0
"Great value for money, this book is fantastic.",1
"Worst book I have purchased, do not recommend at all.",0
"Impressive printer, customer service was also very helpful.",1
"This blender is absolutely amazing, exceeded all my expectations!",1
"This printer made my life so much easier, thank you!",1
"The vacuum cleaner broke on the first use, very frustrating.",0
"Great value for money, this shoes is fantastic.",1
"The vacuum cleaner works flawlessly, very happy with this purchase.",1
"Impressive blender, customer service was also very helpful.",1
"This shoes is absolutely amazing, exceeded all my expectations!",1
"This shoes was a huge disappointment, not worth it.",0
"The headphones stopped working within a week, awful quality.",0
"Best blender I have ever bought, highly recommend it.",1
